Feature ID,Feature Name (EN),Feature Name (TR),Description,Priority,Complexity,Estimated LOC,New Files Count,Required Kits/APIs,Current Kit Overlap,Category,Target View,Dependencies,Emulator Testable,Notes
F01,Session History & Statistics,Oturum Geçmişi ve İstatistikler,"Tamamlanan odak oturumlarının RDB veritabanında kaydı; günlük/haftalık/aylık toplam odak süresi, oturum sayısı, ortalama süre. Canvas ile bar chart ve pie chart görselleştirme.",Critical,High,230,4 (SessionRecord.ets + StatsService.ets + StatsPage.ets + StatsChart.ets),@kit.ArkData (relationalStore) + Canvas API,None,Core Feature,New Page (StatsPage),None,Yes,"relationalStore ile CRUD işlemleri. Canvas bileşeni ile chart çizimi. Tüm istatistik ve gamification özelliklerinin temeli."
F02,Onboarding & Welcome Flow,Karşılama ve Tanıtım Akışı,"İlk açılışta Stepper bileşeniyle adım adım uygulama tanıtımı; Pomodoro tekniği açıklaması, hedef belirleme, tema seçimi. Animasyonlu geçişler.",Critical,Medium,140,3 (OnboardingPage.ets + OnboardingStep.ets + OnboardingConfig.ets),@kit.ArkUI (Stepper + StepperItem + PageTransition + animateTo),@kit.ArkUI,UX,New Page (router),None,Yes,"Stepper ve StepperItem bileşenleri ile çok adımlı form. PageTransition animasyonları. AppStorage ile firstLaunch flag kontrolü."
F03,Multi-Page Navigation with Router,Çoklu Sayfa Navigasyonu,"Router tabanlı sayfa geçişleri; ana sayfa, istatistik, ayarlar, başarımlar arası navigasyon. Özel geçiş animasyonları (slide, fade, scale).",Critical,Medium,100,2 (RouterHelper.ets + NavConstants.ets),@kit.ArkUI (router + PageTransition + TransitionEffect),@kit.ArkUI,Architecture,All Pages,None,Yes,"router.pushUrl/back ile sayfa yönetimi. Her sayfaya özel PageTransition efekti. Navigation stack yönetimi."
F04,Daily Focus Goals with Ring Progress,Günlük Odak Hedefleri,"Kullanıcının günlük odak süresi hedefi belirlemesi; Gauge bileşeni ile hedef ilerleme göstergesi. Hedef tamamlandığında kutlama animasyonu (particle efekt).",Critical,Medium,110,2 (GoalModel.ets + GoalRingView.ets),@kit.ArkUI (Gauge + animateTo + particleEffect),@kit.ArkUI,Core Feature,ProgressRing + Settings,F01,Yes,"Gauge bileşeni ile dairesel hedef göstergesi. Tamamlanma animasyonu particle efekt ile. Günlük sıfırlama mantığı."
F05,Breathing Exercise with Animations,Nefes Egzersizi Animasyonları,"Mola sürelerinde yönlendirilmiş nefes egzersizi; 4-7-8 tekniği ve kutu nefesi. Genişleyen/daralan daire animasyonu, renk geçişleri, metin yönlendirmeleri.",High,Medium,130,2 (BreathingExercise.ets + BreathingConfig.ets),@kit.ArkUI (animateTo + curve + TransitionEffect + Canvas),@kit.ArkUI,Wellness,New Swiper Page,None,Yes,"animateTo ile genişleyen/daralan daire. Curve.Spring ve Curve.EaseInOut animasyon eğrileri. Canvas ile nefes ilerleme çemberi çizimi."
F06,Achievement & Badge System,Başarı ve Rozet Sistemi,"Rozetler/başarımlar (7 gün seri, 50/100/500 oturum, 1000dk toplam vb.). Grid layout ile rozet galerisi, kilit açma animasyonları, ilerleme çubukları.",High,High,180,4 (Achievement.ets + AchievementService.ets + AchievementPage.ets + BadgeCard.ets),@kit.ArkData (preferences) + @kit.ArkUI (Grid + GridItem + Progress + animateTo),@kit.ArkUI,Gamification,New Page,F01,Yes,"Grid+GridItem ile rozet galerisi. Her rozet için Progress bar ile ilerleme. Kilit açıldığında scale+opacity animasyonu. 15+ farklı başarım tanımı."
F07,Theme Customization with Live Preview,Tema Özelleştirme ve Canlı Önizleme,"6 renk teması (Mor, Mavi, Yeşil, Kırmızı, Turuncu, Cyan); canlı önizleme ile anlık UI güncelleme. Her tema için gradyan seti ve ikon renkleri.",High,Medium,90,2 (ThemeManager.ets + ThemePickerView.ets),@kit.ArkData (preferences) + @kit.ArkUI (@Provide/@Consume + ForEach),@kit.ArkUI,Personalization,New Settings Section + All Views,None,Yes,"@Provide/@Consume ile global tema state yönetimi. ForEach ile dinamik tema kartları. AppStorage ile kalıcı tema tercihi. LinearGradient dinamik renk dizileri."
F08,Custom Focus Programs & Templates,Özel Odak Programları ve Şablonlar,"Pomodoro dışında hazır şablonlar (Deep Work 90-20, Sprint 15-3, Study 50-10) ve kullanıcının kendi programını oluşturması. List ile şablon seçimi, Counter ile süre ayarı.",High,High,160,3 (ProgramEditor.ets + ProgramTemplate.ets + ProgramListPage.ets),@kit.ArkData (preferences) + @kit.ArkUI (List + ListItem + TextInput + Counter + AlertDialog),@kit.ArkUI,Core Feature,New Page,None,Yes,"List+ListItem ile şablon listesi. AlertDialog ile silme onayı. TextInput ile program adı. Counter ile süre ayarı. Swipe-to-delete gesture."
F09,Session Tags & Category Filter,Oturum Etiketleri ve Kategori Filtresi,"Oturuma kategori etiketi ekleme (Çalışma, Okuma, Kodlama, Egzersiz, Meditasyon). Renk kodlu Chip bileşenleri, Flex layout ile etiket seçimi. İstatistiklerde filtreleme.",High,Medium,100,2 (TagModel.ets + TagSelector.ets),@kit.ArkUI (Chip + ChipGroup + Flex + FlexAlign),@kit.ArkUI,Core Feature,ProgressController + Stats,F01,Yes,"Chip ve ChipGroup bileşenleri ile etiket seçimi. Flex wrap layout ile dinamik düzen. Her etikete özel renk ve ikon. İstatistik sayfasında etiket bazlı filtreleme."
F10,Weekly Report with Canvas Charts,Haftalık Rapor ve Canvas Grafikleri,"Her hafta sonu otomatik özet; Canvas API ile bar chart (günlük dağılım), line chart (trend), ve donut chart (kategori dağılımı). Scroll ile detaylı görünüm.",High,High,170,3 (ReportGenerator.ets + ReportView.ets + ChartCanvas.ets),@kit.ArkUI (Canvas + CanvasRenderingContext2D + Scroll + Divider),@kit.ArkUI,Analytics,New Page,F01 + F09,Yes,"Canvas + CanvasRenderingContext2D ile özel grafik çizimi. arc() path() fillRect() strokeText() API'leri. Scroll içinde birden fazla chart bölümü."
F11,Calendar Heatmap View,Takvim Isı Haritası,"GitHub contribution graph benzeri takvim görünümü; her gün için odak yoğunluğuna göre renk skalası (açık→koyu). Grid layout, tıklanabilir günler, detay popup.",Medium,High,150,2 (CalendarHeatmap.ets + DayDetailPopup.ets),@kit.ArkUI (Grid + GridItem + Canvas + CustomDialog + Popup),@kit.ArkUI,Analytics,Stats Page,F01,Yes,"Grid ile takvim grid yapısı. Her hücre için koşullu renklendirme. CustomDialog ile gün detayı gösterimi. Canvas ile renk skalası legend çizimi."
